Data da Carga da Base;Exercício Financeiro (Lan-Ef);Ação (código);Ação (nome);Plano Orçamentário (código);Plano Orçamentário (nome);Grupo de Despesa (código);Grupo de Despesa (nome);Resultado Lei (código);Resultado Lei (nome);Modalidade de Aplicação (código);Modalidade de Aplicação (nome);Fonte (código);Fonte (nome);Valor dotação inicial;Valor dotação atualizada;Valor Total Empenhado;Valor Liquidado;Valor Pago
01/03/2021;2021;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;4;INVESTIMENTOS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;51;RECURSOS LIVRES DA SEGURIDADE SOCIAL;300000;300000;0;0;0
01/03/2021;2021;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0002;EXAMES PERIODICOS - CIVIS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;51;RECURSOS LIVRES DA SEGURIDADE SOCIAL;380271;380271;0;0;0
01/03/2021;2021;20TP;ATIVOS CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;1434560338;1434560338;1398216658;235370522,6;235359665,2
01/03/2021;2021;20TP;ATIVOS CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS ORDINARIOS;92355799,97;92355799,97;89515223,21;15110836,47;15110836,47
01/03/2021;2021;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0001;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;11370680;11370680;11002462,03;1794539,21;1794539,21
01/03/2021;2021;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0003;AUXILIO-TRANSPORTE DE CIVIS ATIVOS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;767483;767483;518460,81;14852,73;14852,73
01/03/2021;2021;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0005;AUXILIO-ALIMENTACAO DE CIVIS ATIVOS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;69765439;69765439;69022468,59;11372198,14;11372198,14
01/03/2021;2021;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0009;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;3677668;3677668;3076522;437534,48;437534,48
01/03/2021;2021;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB; -; -;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;55000;55000;20000;20000;20000
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;50626657,87;50626657,87;38394187,19;13159822,89;11506344,29
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;3914561;439314;11398,06;0;0
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS ORDINARIOS;23448,13;23448,13;23448,13;4631,74;4631,74
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;-1222023;2253224;144078,39;10000;10000
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;63;REC.PROP.DECOR.ALIEN.BENS E DIR.DO PATR.PUB.;68000;68000;0;0;0
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0004;GESTAO DO SISTEMA DE INFORMATICA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;15707572;15707572;12538957,58;808055,62;554351,7
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0004;GESTAO DO SISTEMA DE INFORMATICA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;672965;672965;0;0;0
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0006;PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;5287179;5287179;1262235,37;298959,86;267770
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0006;PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;866199;100000;10472,5;10472,5;0
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0006;PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;-687848;78351;0;0;0
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000C;DISSEMINACAO DE CONHECIMENTOS LEGISLATIVOS E GERENCIAIS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;898263;898263;367895,44;298261,74;292428,41
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000D;MODERNIZACAO E ADEQUACAO DA ACESSIBILIDADE NO COMPLEXO ARQUITETONICO;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;849636;849636;255902,99;139018,82;139018,82
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000F;COMUNICACAO E DIVULGACAO INSTITUCIONAL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;12774530,46;12774530,46;6950053,63;373419,04;372907,12
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000F;COMUNICACAO E DIVULGACAO INSTITUCIONAL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS ORDINARIOS;306380,54;306380,54;306380,54;15133,59;15133,59
01/03/2021;2021;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000F;COMUNICACAO E DIVULGACAO INSTITUCIONAL;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;1236906;1236906;0;0;0
01/03/2021;2020;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;0001;CONTRIBUICAO A ASSOCIACAO DOS SECRETARIOS-GERAIS DO PARLAMENTO - ASPG;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS ORDINARIOS;4749;4749;0;0;0
01/03/2021;2020;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;0002;CONTRIBUICAO A FEDERACAO INTERNACIONAL DAS ASSOCIACOES E INSTITUICOES BIBLIOTECARIAS - IFLA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS ORDINARIOS;3363;3363;3319,03;3319,03;3319,03
01/03/2021;2020;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;0004;CONTRIBUICAO AO PARLAMERICAS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS ORDINARIOS;109375;107875;99862,96;99862,96;99862,96
01/03/2021;2020;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;0005;CONTRIBUICAO AO CONSELHO INTERNACIONAL DE ARQUIVOS - ICA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS ORDINARIOS;1255;2755;1906,83;1906,83;1906,83
01/03/2021;2020;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;000S;CONTRIBUICAO AO PARLAMENTO LATINO-AMERICANO;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS ORDINARIOS;190704;190704;159158,88;159158,88;159158,88
01/03/2021;2020;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;000T;CONTRIBUICAO A UNIAO INTERPARLAMENTAR;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS ORDINARIOS;990232;990232;884787,23;884787,23;884787,23
01/03/2021;2020;00PW;CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM;0001;CONTRIBUICAO A ASSOCIACAO BRASILEIRA DAS ESCOLAS DO LEGISLATIVO E DE CONTAS - ABEL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSF. A INST. PRIVADAS S/ FINS LUCRATIVOS;0;RECURSOS ORDINARIOS;10800;10800;9000;9000;9000
01/03/2021;2020;00PW;CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM;0002;CONTRIBUICAO A UNIAO NACIONAL DAS INSTITUICOES DE AUTOGESTAO EM SAUDE - UNIDAS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSF. A INST. PRIVADAS S/ FINS LUCRATIVOS;0;RECURSOS ORDINARIOS;64844;64686;62620,68;62620,68;62620,68
01/03/2021;2020;00PW;CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM;0003;CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE TELEVISOES E RADIOS LEGISLATIVAS - ASTRAL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSF. A INST. PRIVADAS S/ FINS LUCRATIVOS;0;RECURSOS ORDINARIOS;16800;16800;14000;14000;14000
01/03/2021;2020;00PW;CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM;0004;CONTRIBUICAO AO INSTITUTO BRASILEIRO DE GOVERNANCA CORPORATIVA - IBGC;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSF. A INST. PRIVADAS S/ FINS LUCRATIVOS;0;RECURSOS ORDINARIOS;4580;4738;4738;4738;4738
01/03/2021;2020;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;51;RECURSOS LIVRES DA SEGURIDADE SOCIAL;1776389639;1776389639;1728203852;1728008928;1728008928
01/03/2021;2020;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;56;CONTRIB.DO SERV.PARA O PLANO SEG.SOC.SERV.PUB;139493368;139493368;137279763,8;137279763,8;137279763,8
01/03/2021;2020;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;69;CONTR.PATRONAL PARA O PLANO SEG.SOC.SERV.PUB.;219913761;219913761;217279170,9;217279170,9;217279170,9
01/03/2021;2020;0397;APOSENTADORIAS E PENSOES DO EXTINTO INSTITUTO DE PREVIDENCIA; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;51;RECURSOS LIVRES DA SEGURIDADE SOCIAL;22676851;22676851;22170162,59;22170162,59;22170162,59
01/03/2021;2020;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O; -; -;1;PESSOAL E ENCARGOS SOCIAIS;0;FINANCEIRO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS ORDINARIOS;148580079;186548138;184548495,6;184548495,6;184548495,6
01/03/2021;2020;0Z00;RESERVA DE CONTINGENCIA - FINANCEIRA; -; -;1;PESSOAL E ENCARGOS SOCIAIS;0;FINANCEIRO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS ORDINARIOS;389686;389686;0;0;0
01/03/2021;2020;0Z01;RESERVA DE CONTINGENCIA FISCAL - PRIMARIA; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;8995177;8995177;0;0;0
01/03/2021;2020;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;0;20192182;20192182;0;0
01/03/2021;2020;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;51;RECURSOS LIVRES DA SEGURIDADE SOCIAL;185509269;185509269;184793093,5;178380496;178353344,2
01/03/2021;2020;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;70;REC.PROPRIOS PRIMARIOS APLICACAO ESPECIFICA;0;3139185;2712514,97;2712514,97;2712514,97
01/03/2021;2020;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;4;INVESTIMENTOS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;51;RECURSOS LIVRES DA SEGURIDADE SOCIAL;49158;49158;0;0;0
01/03/2021;2020;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0002;EXAMES PERIODICOS - CIVIS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;51;RECURSOS LIVRES DA SEGURIDADE SOCIAL;371576;371576;0;0;0
01/03/2021;2020;20TP;ATIVOS CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;1443930571;1443930571;1356433269;1354920793;1354211116
01/03/2021;2020;20TP;ATIVOS CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS ORDINARIOS;92563777,7;92563777,7;88582876,89;88582876,89;88582876,89
01/03/2021;2020;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0001;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;10522172;11028229;11008280,36;11008280,36;11008280,36
01/03/2021;2020;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0003;AUXILIO-TRANSPORTE DE CIVIS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;656425;518461;491312,58;491312,58;491312,58
01/03/2021;2020;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0005;AUXILIO-ALIMENTACAO DE CIVIS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;68258370;68981119;68977391,36;68938549,01;68900524,64
01/03/2021;2020;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0009;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;2938558;3182808;3074154,88;3036337,9;3036337,9
01/03/2021;2020;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB; -; -;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;648885;348885;221232,55;221232,55;221232,55
01/03/2021;2020;2549;COMUNICACAO E DIVULGACAO INSTITUCIONAL; -; -;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;60855260,18;50355260,18;47909143,67;42393023,98;42391671,92
01/03/2021;2020;2549;COMUNICACAO E DIVULGACAO INSTITUCIONAL; -; -;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS ORDINARIOS;624565,82;624565,82;298585,54;256292,86;256292,86
01/03/2021;2020;2549;COMUNICACAO E DIVULGACAO INSTITUCIONAL; -; -;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;7175700;7175700;5958352,89;3986704,32;3986704,32
01/03/2021;2020;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;299317401;298015563;264490886,2;206220773,1;204897480,4
01/03/2021;2020;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;2302362;2302362;579550;7107,96;7107,96
01/03/2021;2020;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS ORDINARIOS;285912,02;285912,02;190689,48;41590,28;41590,28
01/03/2021;2020;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS ORDINARIOS;25457544,83;17396830,83;14868484,84;2990091,93;2989972,87
01/03/2021;2020;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;2187027;2003027;1381801,96;360546,62;360546,62
01/03/2021;2020;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;63;REC.PROP.DECOR.ALIEN.BENS E DIR.DO PATR.PUB.;164610;164610;0;0;0
01/03/2021;2020;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;0001;ADMINISTRACAO LEGISLATIVA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;92;APLICACAO DIRETA DE RECURSOS  RECEBIDOS DE OUTROS ENTESDA FEDERACAO DECORRENTES DE DELEGACAO/DESCENTRALIZACAO;0;RECURSOS ORDINARIOS;5995,17;5995,17;0;0;0
